Stock,Count,Buy,Sell,2T,2TB,2TS,3T,3TB,3TS,5T,5TB,5TS
BVH,2,0,1,2,0,1,1,0,0,0,0,0
CVN,2,0,2,1,0,1,1,0,1,0,0,0
BOT,2,2,0,1,1,0,1,1,0,0,0,0
HTM,2,0,2,1,0,1,0,0,0,0,0,0
VMC,2,1,1,1,1,0,1,1,0,1,1,0
HDB,2,0,1,1,0,0,1,0,0,1,0,0
VHC,2,1,0,1,0,0,1,0,0,0,0,0
DS3,2,0,2,0,0,0,0,0,0,0,0,0
MPT,2,2,0,1,1,0,0,0,0,0,0,0
NHH,2,2,0,0,0,0,0,0,0,0,0,0
PVG,2,0,2,1,0,1,0,0,0,0,0,0
DVP,2,0,0,1,0,0,0,0,0,0,0,0
DLG,1,0,0,0,0,0,0,0,0,0,0,0
TCL,1,1,0,0,0,0,0,0,0,0,0,0
D2D,1,0,0,0,0,0,0,0,0,0,0,0
SCR,1,0,0,1,0,0,1,0,0,0,0,0
HAH,1,0,0,0,0,0,0,0,0,0,0,0
TTF,1,0,0,1,0,0,0,0,0,0,0,0
ITA,1,0,0,1,0,0,1,0,0,1,0,0
SJS,1,0,0,0,0,0,0,0,0,0,0,0
SAM,1,0,0,0,0,0,0,0,0,0,0,0
PTB,1,0,0,0,0,0,0,0,0,0,0,0
CTI,1,0,0,0,0,0,0,0,0,0,0,0
DPG,1,0,0,1,0,0,1,0,0,0,0,0
KSB,1,0,0,1,0,0,1,0,0,1,0,0
SPI,1,1,0,0,0,0,0,0,0,0,0,0
VKC,1,0,1,0,0,0,0,0,0,0,0,0
CMX,1,0,0,0,0,0,0,0,0,0,0,0
HVN,1,0,0,1,0,0,1,0,0,1,0,0
SZL,1,0,0,0,0,0,0,0,0,0,0,0
DRH,1,0,0,0,0,0,0,0,0,0,0,0
HT1,1,0,0,0,0,0,0,0,0,0,0,0
WCS,1,0,1,0,0,0,0,0,0,0,0,0
KDC,1,0,0,0,0,0,0,0,0,0,0,0
MHC,1,0,0,0,0,0,0,0,0,0,0,0
TAC,1,0,0,1,0,0,0,0,0,0,0,0
PPC,1,1,0,0,0,0,0,0,0,0,0,0
ANV,1,0,0,0,0,0,0,0,0,0,0,0
TA9,1,0,1,1,0,1,1,0,1,1,0,1
VGC,1,0,0,0,0,0,0,0,0,0,0,0
HAG,1,0,0,1,0,0,1,0,0,1,0,0
BCG,1,0,0,1,0,0,0,0,0,0,0,0
ITQ,1,0,1,1,0,1,0,0,0,0,0,0
FIT,1,0,0,0,0,0,0,0,0,0,0,0
JVC,1,0,0,0,0,0,0,0,0,0,0,0
IDI,1,0,0,0,0,0,0,0,0,0,0,0
GVR,1,0,0,1,0,0,1,0,0,1,0,0
SDT,1,1,0,1,1,0,0,0,0,0,0,0
FRT,1,0,0,1,0,0,0,0,0,0,0,0
CCL,1,0,0,0,0,0,0,0,0,0,0,0
HAI,1,0,0,0,0,0,0,0,0,0,0,0
HQC,1,0,0,1,0,0,1,0,0,0,0,0
PET,1,0,0,1,0,0,0,0,0,0,0,0
TVB,1,0,0,0,0,0,0,0,0,0,0,0
CKG,1,0,0,0,0,0,0,0,0,0,0,0
GEG,1,0,0,1,0,0,0,0,0,0,0,0
AMD,1,0,0,1,0,0,0,0,0,0,0,0
SBT,1,0,0,1,0,0,1,0,0,1,0,0
AMS,1,0,1,0,0,0,0,0,0,0,0,0
ASM,1,0,0,1,0,0,0,0,0,0,0,0
SAB,1,0,0,0,0,0,0,0,0,0,0,0
DGW,1,0,0,1,0,0,1,0,0,1,0,0
HHS,1,0,0,1,0,0,1,0,0,0,0,0
LHG,1,0,0,1,0,0,0,0,0,0,0,0
SD6,1,1,0,0,0,0,0,0,0,0,0,0
VSC,1,0,0,0,0,0,0,0,0,0,0,0
PAN,1,0,0,1,0,0,1,0,0,0,0,0
CMS,1,0,1,0,0,0,0,0,0,0,0,0
AGG,1,0,0,1,0,0,0,0,0,0,0,0
SD5,1,0,1,0,0,0,0,0,0,0,0,0
NTL,1,0,0,0,0,0,0,0,0,0,0,0
IBC,1,1,0,1,1,0,0,0,0,0,0,0
LDG,1,0,0,1,0,0,1,0,0,1,0,0
NSH,1,0,1,0,0,0,0,0,0,0,0,0
TIP,1,0,0,0,0,0,0,0,0,0,0,0
VPG,1,0,0,0,0,0,0,0,0,0,0,0
PHP,1,1,0,0,0,0,0,0,0,0,0,0
DZM,1,1,0,1,1,0,0,0,0,0,0,0
TDC,1,0,0,1,0,0,1,0,0,0,0,0
KBC,1,0,0,1,0,0,1,0,0,1,0,0
TVD,1,0,1,0,0,0,0,0,0,0,0,0
LIX,0,0,0,0,0,0,0,0,0,0,0,0
DBT,0,0,0,0,0,0,0,0,0,0,0,0
PAC,0,0,0,0,0,0,0,0,0,0,0,0
HAT,0,0,0,0,0,0,0,0,0,0,0,0
TYA,0,0,0,0,0,0,0,0,0,0,0,0
NSC,0,0,0,0,0,0,0,0,0,0,0,0
CSC,0,0,0,0,0,0,0,0,0,0,0,0
QNC,0,0,0,0,0,0,0,0,0,0,0,0
PHC,0,0,0,0,0,0,0,0,0,0,0,0
BWE,0,0,0,0,0,0,0,0,0,0,0,0
EVE,0,0,0,0,0,0,0,0,0,0,0,0
