,Code,Floor
575,DP1,UPCOM
576,VRE,HOSE
577,PMW,UPCOM
578,BPW,UPCOM
579,KHS,HNX
580,DTI,UPCOM
581,C22,UPCOM
582,TDT,HNX
583,HNR,UPCOM
584,BLW,UPCOM
585,VDB,UPCOM
586,MDN,UPCOM
587,TTE,HOSE
588,TN1,HOSE
589,BMG,UPCOM
590,PGN,HNX
591,GLC,UPCOM
592,SIG,UPCOM
593,IBD,UPCOM
594,CFV,UPCOM
595,DKH,UPCOM
596,DKC,UPCOM
597,MA1,UPCOM
598,AGF,UPCOM
599,TNC,HOSE
600,HAS,HOSE
601,BT6,UPCOM
602,PPC,HOSE
603,KHP,HOSE
604,HVX,HOSE
605,DCT,UPCOM
606,SJS,HOSE
607,TNA,HOSE
608,BLI,UPCOM
609,SGS,UPCOM
610,MBS,HNX
611,STB,HOSE
612,BRR,UPCOM
613,VFC,UPCOM
614,TS4,HOSE
615,VIN,UPCOM
616,GMD,HOSE
617,UNI,HNX
618,HT1,HOSE
619,SVC,HOSE
620,FPT,HOSE
621,MKP,UPCOM
622,DMC,HOSE
623,MVN,UPCOM
624,STP,HNX
625,VEC,UPCOM
626,MNB,UPCOM
627,DTV,UPCOM
628,LGM,UPCOM
629,TCM,HOSE
630,KSB,HOSE
631,CMN,UPCOM
632,KMT,HNX
633,BMS,UPCOM
634,FOX,UPCOM
635,PTS,HNX
636,SJE,HNX
637,TPH,HNX
638,DPG,HOSE
639,TCT,HOSE
640,DTC,UPCOM
641,HJS,HNX
642,S55,HNX
643,DNP,HNX
644,DTT,HOSE
645,VID,HOSE
646,TMC,HNX
647,HRC,HOSE
648,SD7,UPCOM
649,DCL,HOSE
650,SD4,HNX
651,NST,HNX
652,HTM,UPCOM
653,DND,UPCOM
654,TMP,HOSE
655,HSA,UPCOM
656,TMW,UPCOM
657,BWA,UPCOM
658,DPH,UPCOM
659,SBL,UPCOM
660,CET,HNX
661,DBD,HOSE
662,LCG,HOSE
663,L61,HNX
664,AGM,HOSE
665,SC5,HOSE
666,VGT,UPCOM
667,PSI,HNX
668,DBT,HOSE
669,ASM,HOSE
670,VCS,HNX
671,LUT,HNX
672,DSC,UPCOM
673,GEX,HOSE
674,VC5,UPCOM
675,ACS,UPCOM
676,APG,HOSE
677,HAG,HOSE
678,TBX,HNX
679,BMJ,UPCOM
680,SRC,HOSE
681,SDP,UPCOM
682,S74,HNX
683,SED,HNX
684,IDJ,HNX
685,IDV,HNX
686,HDO,UPCOM
687,GTH,UPCOM
688,GDT,HOSE
689,ITD,HOSE
690,TIE,UPCOM
691,SHI,HOSE
692,POW,HOSE
693,PHH,UPCOM
694,CTI,HOSE
695,POM,HOSE
696,LIG,HNX
697,QHD,HNX
698,SPM,HOSE
699,KHB,UPCOM
700,HPT,UPCOM
701,STK,HOSE
702,GTT,UPCOM
703,VIR,UPCOM
704,LDP,HNX
705,HHG,HNX
706,WSB,UPCOM
707,NQB,UPCOM
708,APT,UPCOM
709,VTP,UPCOM
710,NET,HNX
711,S27,UPCOM
712,HAT,HNX
713,OCH,HNX
714,LM7,HNX
715,DSP,UPCOM
716,ADC,HNX
717,KTS,HNX
718,D11,HNX
719,PSG,UPCOM
720,DIH,HNX
721,GHC,UPCOM
722,JVC,HOSE
723,PTB,HOSE
724,INC,HNX
725,FLC,HOSE
726,C21,UPCOM
727,SII,HOSE
728,PEG,UPCOM
729,KLF,HNX
730,CLL,HOSE
731,SID,UPCOM
732,EIC,UPCOM
733,AC4,UPCOM
734,CAT,UPCOM
735,RCD,UPCOM
736,CNC,UPCOM
737,SCI,HNX
738,HJC,UPCOM
739,CPI,UPCOM
740,TVP,UPCOM
741,ITS,UPCOM
742,BAL,UPCOM
743,PSW,HNX
744,VNY,UPCOM
745,ASD,UPCOM
746,TVS,HOSE
747,PBP,HNX
748,NTC,UPCOM
749,NHP,HNX
750,VTK,UPCOM
751,HPD,UPCOM
752,UPC,UPCOM
753,LAI,UPCOM
754,BFC,HOSE
755,AGP,UPCOM
756,NAF,HOSE
757,NAP,HNX
758,KSV,UPCOM
759,TEG,HOSE
760,VPA,UPCOM
761,SRT,UPCOM
762,HND,UPCOM
763,THW,UPCOM
764,VLW,UPCOM
765,VIF,HNX
766,PYU,UPCOM
767,VOC,UPCOM
768,HD2,UPCOM
769,VGV,UPCOM
770,BSR,UPCOM
771,TTS,UPCOM
772,VTR,UPCOM
773,ADS,HOSE
774,DT4,UPCOM
775,CTP,HNX
776,NLS,UPCOM
777,BDT,UPCOM
778,BLN,UPCOM
779,TQW,UPCOM
780,L63,UPCOM
781,NNB,UPCOM
782,IBC,HOSE
783,POS,UPCOM
784,DSV,UPCOM
785,ART,HNX
786,CBC,UPCOM
787,HKT,HNX
788,SB1,UPCOM
789,C12,UPCOM
790,PIA,HNX
791,BTV,UPCOM
792,MC3,UPCOM
793,THR,UPCOM
794,TLP,UPCOM
795,PCF,UPCOM
796,DHB,UPCOM
797,THU,UPCOM
798,CTF,HOSE
799,EMS,UPCOM
800,CAG,HNX
801,CRC,HOSE
802,BHA,UPCOM
803,HPU,UPCOM
804,CBI,UPCOM
805,SCY,UPCOM
806,TS3,UPCOM
807,HAB,UPCOM
808,VXP,UPCOM
809,HNI,UPCOM
810,VET,UPCOM
811,FHN,UPCOM
812,HFS,UPCOM
813,AST,HOSE
814,BBM,UPCOM
815,HSL,HOSE
816,VDM,UPCOM
817,BKH,UPCOM
818,NQN,UPCOM
819,EPC,UPCOM
820,PBT,UPCOM
821,TVH,UPCOM
822,TDP,HOSE
823,UDL,UPCOM
824,CT5,UPCOM
825,AAS,UPCOM
826,PNP,UPCOM
827,TAN,UPCOM
828,NDW,UPCOM
829,HLT,UPCOM
830,MML,UPCOM
831,DRG,UPCOM
832,GTK,UPCOM
833,GQN,UPCOM
834,VXT,UPCOM
835,MCC,HNX
836,PNC,HOSE
837,HHC,HNX
838,BPC,HNX
839,ILC,UPCOM
840,SJG,UPCOM
841,CC1,UPCOM
842,TTP,UPCOM
843,HAP,HOSE
844,PGI,HOSE
845,ACB,HNX
846,CCM,UPCOM
847,SSC,HOSE
848,IFS,UPCOM
849,AMP,UPCOM
850,STG,HOSE
851,SSN,UPCOM
852,GDW,HNX
853,VDL,HNX
854,SD9,HNX
855,PVC,HNX
856,TRC,HOSE
857,IME,UPCOM
858,VC2,HNX
859,VTV,HNX
860,MCO,HNX
861,PJC,HNX
862,SDC,HNX
863,STC,HNX
864,IKH,UPCOM
865,HLA,UPCOM
866,DNS,UPCOM
867,BTP,HOSE
868,ACL,HOSE
869,IJC,HOSE
870,ANV,HOSE
871,BTW,HNX
872,FTM,HOSE
873,FRC,UPCOM
874,CHS,UPCOM
875,UIC,HOSE
876,HCT,HNX
877,TPC,HOSE
878,HCC,HNX
879,SDJ,UPCOM
880,KBC,HOSE
881,VSC,HOSE
882,PVE,UPCOM
883,SDD,UPCOM
884,CAP,HNX
885,NGC,HNX
886,NHH,HOSE
887,FTS,HOSE
888,VE9,UPCOM
889,PTV,UPCOM
890,HUT,HNX
891,YBC,UPCOM
892,VNS,HOSE
893,SPV,UPCOM
894,MTA,UPCOM
895,KSH,UPCOM
896,BHC,UPCOM
897,TGP,UPCOM
898,DHC,HOSE
899,VRG,UPCOM
900,AAM,HOSE
901,DAD,HNX
902,BED,HNX
903,VIT,HNX
904,DVP,HOSE
905,PTG,UPCOM
906,HGM,HNX
907,UDJ,UPCOM
908,PGT,HNX
909,AMV,HNX
910,INN,HNX
911,APC,HOSE
912,TLG,HOSE
913,KBE,UPCOM
914,SDE,UPCOM
915,DRH,HOSE
916,NTB,UPCOM
917,LCC,UPCOM
918,PXI,HOSE
919,VXB,HNX
920,HTC,HNX
921,PHS,UPCOM
922,PVR,UPCOM
923,NNC,HOSE
924,VE2,HNX
925,PDR,HOSE
926,CKG,HOSE
927,PCT,HNX
928,PIV,UPCOM
929,HCI,UPCOM
930,SCL,UPCOM
931,SCO,UPCOM
932,PFL,UPCOM
